"aveSalary","R","SPSS","Excel","Python","MATLAB","Java","SQL","SAS","Stata","EViews","Spark","Hadoop","area","compVar","compScale","academic","exp","induCate"
NA,0,1,0,1,0,0,1,0,0,0,0,0,1,"民营公司","1000-5000人","本科",2,"通信/电信运营、增值服务"
NA,1,0,1,0,0,0,0,1,0,0,0,0,1,"民营公司","50-500人","本科",2,"医疗/护理/卫生"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"民营公司","500-1000人","本科",3,"互联网/电子商务"
NA,1,0,1,0,0,0,1,1,0,0,0,0,1,"外资","500-1000人","本科",3,"计算机服务(系统、数据服务、维修)"
NA,0,0,0,0,0,0,1,0,0,0,1,1,1,"国企","50-500人","本科",5,"保险"
NA,0,0,0,1,0,1,0,0,0,0,1,1,1,"民营公司","50-500人","无",0,"互联网/电子商务"
NA,0,0,0,0,0,1,0,0,0,0,0,0,1,"国企","50-500人","本科",0,"娱乐/休闲/体育"
NA,0,0,0,0,0,0,0,1,0,0,0,0,1,"上市公司","10000人以上","本科",3,"银行"
NA,1,0,0,1,0,1,0,0,0,0,1,1,1,"上市公司","5000-10000人","本科",5,"互联网/电子商务"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"国企","10000人以上","本科",2,"金融/投资/证券"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"民营公司","50-500人","大专",2,"快速消费品(食品、饮料、化妆品)"
NA,1,1,0,0,1,0,0,0,1,1,0,0,1,"国企","500-1000人","硕士",0,"金融/投资/证券"
NA,0,0,0,0,0,1,1,0,0,0,0,0,1,"民营公司","50-500人","本科",1,"互联网/电子商务"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"民营公司","1000-5000人","本科",1,"互联网/电子商务"
NA,1,0,0,0,1,1,0,0,0,0,0,0,1,"民营公司","500-1000人","本科",0,"金融/投资/证券"
NA,0,0,0,1,1,0,0,1,0,0,0,0,1,"民营公司","50-500人","硕士",0,"计算机软件"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"外资","50-500人","本科",2,"计算机硬件"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","50-500人","本科",2,"医疗设备/器械"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","1000-5000人","大专",1,"快速消费品(食品、饮料、化妆品)"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","50-500人","硕士",3,"环保"
NA,0,0,0,1,0,0,0,0,0,0,0,0,1,"民营公司","50-500人","本科",5,"互联网/电子商务"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"外资","10000人以上","高中",2,"金融/投资/证券"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"民营公司","50-500人","大专",5,"交通/运输/物流"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"民营公司","50-500人","本科",2,"制药/生物工程"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"民营公司","50-500人","大专",3,"多元化业务集团公司"
NA,0,0,1,0,0,0,0,0,0,0,0,0,0,"合资","500-1000人","大专",5,"互联网/电子商务"
NA,0,0,1,0,0,0,0,0,0,0,0,0,0,"外资","50-500人","大专",3,"汽车及零配件"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"上市公司","10000人以上","本科",3,"互联网/电子商务"
NA,0,0,1,0,0,0,0,0,0,0,0,0,0,"民营公司","10000人以上","本科",3,"制药/生物工程"
NA,0,0,1,0,0,0,0,0,0,0,0,0,0,"上市公司","1000-5000人","大专",1,"互联网/电子商务"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"民营公司","50-500人","大专",5,"房地产"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"民营公司","500-1000人","大专",1,"制药/生物工程"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"外资","10000人以上","本科",0,"交通/运输/物流"
NA,0,0,1,0,0,0,0,0,0,0,0,0,0,"民营公司","1000-5000人","大专",3,"快速消费品(食品、饮料、化妆品)"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"外资","50-500人","大专",0,"多元化业务集团公司"
NA,0,1,0,0,1,0,0,1,0,0,0,0,0,"国企","500-1000人","硕士",0,"金融/投资/证券"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"民营公司","少于50人","无",0,"互联网/电子商务"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"民营公司","少于50人","本科",0,"电子技术/半导体/集成电路"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"民营公司","50-500人","大专",2,"机械/设备/重工"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"合资","500-1000人","高中",1,"批发/零售"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"外资","10000人以上","大专",3,"金融/投资/证券"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"外资","10000人以上","大专",3,"金融/投资/证券"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"外资","10000人以上","大专",3,"金融/投资/证券"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"民营公司","50-500人","本科",2,"制药/生物工程"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"上市公司","10000人以上","本科",2,"互联网/电子商务"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"国企","1000-5000人","本科",3,"通信/电信运营、增值服务"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"外资","10000人以上","本科",3,"餐饮业"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"国企","50-500人","本科",8,"建筑/建材/工程"
NA,0,0,1,0,0,0,0,0,0,0,0,0,0,"民营公司","50-500人","无",1,"快速消费品(食品、饮料、化妆品)"
NA,0,0,1,0,0,0,0,0,0,0,0,0,0,"外资","1000-5000人","大专",0,"电子技术/半导体/集成电路"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"上市公司","500-1000人","大专",5,"快速消费品(食品、饮料、化妆品)"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"民营公司","1000-5000人","大专",8,"快速消费品(食品、饮料、化妆品)"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"民营公司","1000-5000人","大专",5,"快速消费品(食品、饮料、化妆品)"
NA,0,0,1,0,0,0,0,0,0,0,0,0,0,"外资","500-1000人","本科",2,"金融/投资/证券"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"上市公司","500-1000人","大专",2,"快速消费品(食品、饮料、化妆品)"
NA,1,1,0,0,0,0,1,1,0,0,0,0,0,"民营公司","50-500人","本科",3,"快速消费品(食品、饮料、化妆品)"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"国企","50-500人","本科",5,"政府/公共事业"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"外资","10000人以上","大专",2,"金融/投资/证券"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"合资","50-500人","大专",0,"计算机软件"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"民营公司","少于50人","本科",1,"石油/化工/矿产/地质"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"外资","10000人以上","无",5,"计算机软件"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"民营公司","50-500人","本科",2,"制药/生物工程"
NA,0,0,1,0,0,0,0,0,0,0,0,0,0,"民营公司","5000-10000人","无",5,"互联网/电子商务"
NA,0,0,1,0,0,0,0,0,0,0,0,0,0,"民营公司","10000人以上","大专",5,"快速消费品(食品、饮料、化妆品)"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"外资","1000-5000人","本科",0,"电子技术/半导体/集成电路"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"国企","1000-5000人","硕士",3,"金融/投资/证券"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"外资","500-1000人","大专",3,"电子技术/半导体/集成电路"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"上市公司","10000人以上","本科",3,"互联网/电子商务"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"民营公司","500-1000人","无",8,"电子技术/半导体/集成电路"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"上市公司","1000-5000人","无",0,"金融/投资/证券"
NA,0,0,1,0,0,0,1,0,0,0,0,0,1,"外资","500-1000人","大专",0,"互联网/电子商务"
NA,0,0,1,0,0,0,1,0,0,0,0,0,1,"合资","5000-10000人","本科",0,"中介服务"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"民营公司","50-500人","无",0,"服装/纺织/皮革"
NA,0,0,1,0,0,0,1,0,0,0,0,0,1,"外资","500-1000人","大专",0,"互联网/电子商务"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"上市公司","1000-5000人","大专",3,"计算机服务(系统、数据服务、维修)"
NA,0,0,1,0,1,0,0,0,0,0,0,0,1,"外资","1000-5000人","本科",3,"汽车及零配件"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","50-500人","中专",0,"互联网/电子商务"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"外资","1000-5000人","大专",6,"医疗设备/器械"
NA,0,0,0,0,0,0,0,1,0,0,0,0,1,"合资","少于50人","硕士",6,"医疗/护理/卫生"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"民营公司","1000-5000人","大专",3,"服装/纺织/皮革"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"外资","500-1000人","本科",3,"快速消费品(食品、饮料、化妆品)"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"合资","500-1000人","本科",3,"金融/投资/证券"
NA,1,1,0,0,0,0,1,1,0,0,0,1,1,"外资","10000人以上","硕士",1,"通信/电信/网络设备"
NA,0,1,1,0,0,0,1,0,0,0,0,0,1,"合资","1000-5000人","本科",0,"服装/纺织/皮革"
NA,0,0,1,0,0,0,1,0,0,0,0,0,1,"上市公司","5000-10000人","本科",1,"互联网/电子商务"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"民营公司","10000人以上","大专",0,"通信/电信/网络设备"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","10000人以上","大专",0,"服装/纺织/皮革"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","500-1000人","无",0,"金融/投资/证券"
NA,1,1,1,0,1,0,1,0,0,0,0,1,1,"合资","50-500人","硕士",3,"计算机软件"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"国企","500-1000人","本科",6,"影视/媒体/艺术/文化传播"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","1000-5000人","本科",2,"计算机软件"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"国企","500-1000人","本科",0,"金融/投资/证券"
NA,0,1,0,0,0,0,0,1,1,0,0,0,1,"民营公司","50-500人","硕士",1,"制药/生物工程"
NA,1,0,0,0,0,0,1,1,0,0,0,0,1,"上市公司","1000-5000人","本科",2,"互联网/电子商务"
NA,1,0,0,1,0,0,1,0,0,0,0,0,1,"上市公司","10000人以上","本科",3,"互联网/电子商务"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","500-1000人","本科",3,"互联网/电子商务"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"合资","500-1000人","本科",3,"金融/投资/证券"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","10000人以上","无",0,"多元化业务集团公司"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"外资","1000-5000人","无",0,"快速消费品(食品、饮料、化妆品)"
NA,0,1,0,0,0,0,0,1,0,0,0,0,1,"民营公司","50-500人","本科",2,"网络游戏"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"外资","500-1000人","本科",0,"计算机软件"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"民营公司","1000-5000人","本科",1,"多元化业务集团公司"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"合资","5000-10000人","大专",1,"仪器仪表/工业自动化"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","1000-5000人","本科",0,"中介服务"
NA,0,1,1,0,0,0,1,1,0,0,0,0,1,"合资","500-1000人","本科",0,"汽车及零配件"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","1000-5000人","本科",0,"机械/设备/重工"
NA,0,0,1,0,0,0,0,0,0,0,0,1,1,"合资","50-500人","本科",6,"计算机服务(系统、数据服务、维修)"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"外资","10000人以上","本科",2,"酒店/旅游"
NA,1,1,1,1,0,0,1,1,0,0,0,0,1,"民营公司","1000-5000人","无",0,"计算机软件"
NA,0,1,0,0,0,0,1,0,0,0,0,0,1,"国企","10000人以上","本科",2,"保险"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"民营公司","1000-5000人","大专",2,"服装/纺织/皮革"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","500-1000人","本科",3,"机械/设备/重工"
NA,0,1,1,0,0,0,1,0,0,1,0,0,1,"民营公司","5000-10000人","无",0,"互联网/电子商务"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","1000-5000人","无",0,"批发/零售"
NA,0,0,0,0,0,0,0,0,0,0,0,1,1,"合资","50-500人","大专",6,"计算机服务(系统、数据服务、维修)"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"合资","50-500人","本科",3,"公关/市场推广/会展"
NA,1,1,0,0,1,1,0,1,0,0,0,0,1,"民营公司","少于50人","本科",2,"计算机软件"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","50-500人","无",0,"物业管理/商业中心"
NA,1,0,0,0,0,0,0,0,0,0,0,0,1,"上市公司","1000-5000人","硕士",0,"互联网/电子商务"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"外资","少于50人","本科",0,"制药/生物工程"
NA,1,1,0,0,0,0,1,1,0,0,0,0,1,"合资","500-1000人","无",3,"专业服务(咨询、人力资源、财会)"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","500-1000人","本科",3,"保险"
NA,1,1,1,0,0,0,1,1,0,0,0,0,1,"国企","5000-10000人","本科",3,"金融/投资/证券"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","50-500人","本科",3,"专业服务(咨询、人力资源、财会)"
NA,0,0,0,0,0,0,1,1,0,0,0,0,1,"外资","500-1000人","本科",6,"计算机软件"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","50-500人","大专",0,"快速消费品(食品、饮料、化妆品)"
NA,0,1,1,0,0,0,1,1,0,0,0,0,1,"民营公司","500-1000人","本科",0,"金融/投资/证券"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","5000-10000人","无",0,"互联网/电子商务"
NA,0,1,0,0,0,0,1,1,0,0,0,0,1,"国企","10000人以上","本科",3,"金融/投资/证券"
NA,1,0,1,1,1,0,1,1,0,0,0,0,1,"合资","500-1000人","本科",1,"互联网/电子商务"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","50-500人","本科",0,"互联网/电子商务"
NA,0,1,1,0,0,0,1,1,0,0,0,0,1,"国企","500-1000人","本科",6,"银行"
NA,0,1,1,0,0,0,1,1,0,0,0,0,1,"外资","1000-5000人","本科",1,"计算机软件"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","50-500人","无",0,"广告"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"外资","500-1000人","本科",0,"汽车及零配件"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","少于50人","本科",0,"计算机软件"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"外资","10000人以上","硕士",3,"电子技术/半导体/集成电路"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"外资","500-1000人","大专",0,"批发/零售"
NA,1,0,0,0,0,1,0,1,0,0,0,0,1,"合资","1000-5000人","本科",2,"计算机软件"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"国企","500-1000人","本科",0,"保险"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","1000-5000人","大专",0,"计算机服务(系统、数据服务、维修)"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","50-500人","无",0,"互联网/电子商务"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"国企","少于50人","本科",1,"汽车及零配件"
NA,0,0,1,0,0,0,1,1,0,0,0,0,1,"外资","1000-5000人","本科",0,"银行"
NA,1,1,1,0,1,0,1,1,0,1,0,0,1,"民营公司","1000-5000人","本科",3,"互联网/电子商务"
NA,0,0,1,0,0,0,1,0,0,0,0,0,1,"国企","5000-10000人","本科",3,"航天/航空"
NA,1,1,0,0,0,0,0,1,0,0,0,0,1,"上市公司","10000人以上","本科",3,"金融/投资/证券"
NA,1,1,1,1,1,0,0,1,0,0,0,0,1,"上市公司","10000人以上","本科",2,"金融/投资/证券"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"外资","1000-5000人","无",0,"餐饮业"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","500-1000人","本科",3,"机械/设备/重工"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","5000-10000人","本科",6,"互联网/电子商务"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"合资","50-500人","大专",3,"互联网/电子商务"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"合资","1000-5000人","本科",6,"石油/化工/矿产/地质"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","1000-5000人","本科",0,"服装/纺织/皮革"
NA,0,0,0,0,0,1,1,0,0,0,0,0,1,"国企","1000-5000人","本科",3,"通信/电信运营、增值服务"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","50-500人","大专",6,"酒店/旅游"
NA,0,0,0,0,1,0,0,0,0,0,0,0,1,"上市公司","1000-5000人","无",0,"金融/投资/证券"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","50-500人","大专",2,"互联网/电子商务"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","500-1000人","硕士",0,"新能源"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"合资","少于50人","本科",5,"网络游戏"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"合资","50-500人","大专",0,"贸易/进出口"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","50-500人","本科",6,"物业管理/商业中心"
NA,0,0,0,0,1,0,0,0,0,0,0,0,1,"外资","50-500人","本科",0,"电子技术/半导体/集成电路"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","50-500人","大专",6,"教育/培训/院校"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"合资","1000-5000人","无",0,"制药/生物工程"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","1000-5000人","大专",2,"批发/零售"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"国企","50-500人","大专",3,"建筑/建材/工程"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","50-500人","大专",0,"贸易/进出口"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","500-1000人","中专",1,"家具/家电/玩具/礼品"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","1000-5000人","本科",0,"餐饮业"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","10000人以上","高中",2,"金融/投资/证券"
NA,1,1,1,1,1,0,1,1,0,0,0,0,1,"国企","10000人以上","硕士",0,"多元化业务集团公司"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"民营公司","500-1000人","本科",3,"快速消费品(食品、饮料、化妆品)"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"国企","50-500人","本科",3,"互联网/电子商务"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","50-500人","本科",3,"电子技术/半导体/集成电路"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","50-500人","中专",0,"贸易/进出口"
NA,0,0,0,1,0,0,1,0,0,0,0,0,1,"外资","5000-10000人","本科",3,"计算机软件"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","1000-5000人","本科",3,"通信/电信/网络设备"
NA,0,0,0,0,0,1,1,0,0,0,0,0,1,"国企","50-500人","本科",1,"金融/投资/证券"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"国企","50-500人","本科",2,"金融/投资/证券"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","50-500人","大专",0,"互联网/电子商务"
NA,1,0,0,0,0,0,0,1,0,0,0,0,1,"外资","500-1000人","本科",0,"专业服务(咨询、人力资源、财会)"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","500-1000人","本科",0,"机械/设备/重工"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","500-1000人","本科",3,"通信/电信运营、增值服务"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"国企","少于50人","本科",8,"金融/投资/证券"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","少于50人","本科",2,"金融/投资/证券"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"上市公司","50-500人","本科",1,"互联网/电子商务"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","1000-5000人","本科",0,"房地产"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","50-500人","本科",1,"机械/设备/重工"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","50-500人","大专",0,"教育/培训/院校"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","50-500人","本科",3,"贸易/进出口"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"国企","500-1000人","本科",0,"金融/投资/证券"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"合资","少于50人","本科",3,"医疗设备/器械"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","少于50人","硕士",2,"机械/设备/重工"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","10000人以上","本科",0,"批发/零售"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"合资","50-500人","硕士",2,"多元化业务集团公司"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","50-500人","本科",10,"餐饮业"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"民营公司","1000-5000人","大专",1,"快速消费品(食品、饮料、化妆品)"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","500-1000人","大专",1,"影视/媒体/艺术/文化传播"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"上市公司","1000-5000人","大专",3,"计算机软件"
NA,1,0,0,1,0,0,0,0,0,0,0,0,1,"民营公司","50-500人","硕士",1,"制药/生物工程"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"外资","500-1000人","本科",0,"家具/家电/玩具/礼品"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"合资","少于50人","本科",3,"金融/投资/证券"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","50-500人","硕士",0,"制药/生物工程"
NA,0,0,0,0,0,0,1,0,0,0,0,0,1,"外资","1000-5000人","本科",3,"快速消费品(食品、饮料、化妆品)"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"国企","500-1000人","本科",3,"通信/电信/网络设备"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"外资","1000-5000人","大专",0,"批发/零售"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"上市公司","50-500人","无",3,"贸易/进出口"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"合资","50-500人","本科",6,"互联网/电子商务"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","少于50人","本科",8,"专业服务(咨询、人力资源、财会)"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","500-1000人","大专",1,"服装/纺织/皮革"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"合资","50-500人","大专",0,"快速消费品(食品、饮料、化妆品)"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"国企","50-500人","本科",3,"计算机服务(系统、数据服务、维修)"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"上市公司","1000-5000人","本科",3,"教育/培训/院校"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","50-500人","无",2,"影视/媒体/艺术/文化传播"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","1000-5000人","硕士",10,"多元化业务集团公司"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","500-1000人","大专",0,"快速消费品(食品、饮料、化妆品)"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","50-500人","高中",6,"批发/零售"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"合资","500-1000人","本科",3,"专业服务(咨询、人力资源、财会)"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","500-1000人","大专",0,"互联网/电子商务"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","50-500人","硕士",3,"制药/生物工程"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","500-1000人","本科",3,"汽车及零配件"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","500-1000人","本科",3,"石油/化工/矿产/地质"
